CAUTION - CPROFILE WAS ACTIVE
         41520782 function calls (41520413 primitive calls) in 24.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   24.461   24.461 {built-in method builtins.exec}
        1    0.000    0.000   24.461   24.461 <string>:1(<module>)
        1    0.000    0.000   24.461   24.461 runners.py:160(run)
        3    0.000    0.000   24.460    8.153 base_events.py:651(run_until_complete)
        3    0.000    0.000   24.460    8.153 windows_events.py:318(run_forever)
        3    0.005    0.002   24.460    8.153 base_events.py:627(run_forever)
        1    0.000    0.000   24.460   24.460 runners.py:86(run)
     9951    0.033    0.000   24.457    0.002 base_events.py:1910(_run_once)
     9956    0.009    0.000   24.368    0.002 events.py:86(_run)
     9956    0.027    0.000   24.358    0.002 {method 'run' of '_contextvars.Context' objects}        
     9946    7.944    0.001   24.297    0.002 main.py:4503(main)
     
    46111    0.096    0.000    8.634    0.000 entities.py:174(update)
   135240    4.773    0.000    8.128    0.000 entities.py:264(get_cols)
    46111    0.111    0.000    5.596    0.000 entities.py:211(collide)
    46111    0.016    0.000    2.870    0.000 entities.py:482(spec_update)
    46111    0.110    0.000    2.854    0.000 entities.py:246(jump_over_obstacles)
     9945    1.888    0.000    1.901    0.000 {method 'tick' of 'pygame.time.Clock' objects}
  6330144    1.642    0.000    1.642    0.000 settings.py:509(correct_tile)
      192    0.050    0.000    1.335    0.007 main.py:855(generate_chunk)
     9767    0.018    0.000    1.056    0.000 main.py:2153(update)
  6028072    0.779    0.000    0.997    0.000 prim_data.py:311(is_hard)
     9767    0.012    0.000    0.973    0.000 main.py:2163(move_accordingly)
     9767    0.129    0.000    0.782    0.000 main.py:2568(adventure_move)
    50965    0.523    0.000    0.633    0.000 prim_data.py:101(__init__)
  1631089    0.500    0.000    0.622    0.000 main.py:2207(_rect)
   283243    0.199    0.000    0.533    0.000 main.py:2203(rect)
    29301    0.159    0.000    0.493    0.000 main.py:2543(get_cols)
  2405697    0.480    0.000    0.480    0.000 entities.py:11(Rect)
    26624    0.420    0.000    0.420    0.000 {method 'blit' of 'pygame.surface.Surface' objects}     
        1    0.005    0.005    0.385    0.385 main.py:1096(save)
      192    0.022    0.000    0.380    0.002 main.py:940(generate_lighting)
        1    0.337    0.337    0.378    0.378 {built-in method _pickle.dump}
     9945    0.103    0.000    0.316    0.000 pgwidgets.py:851(draw_and_update_widgets)
  2910664    0.273    0.000    0.273    0.000 {method 'colliderect' of 'pygame.rect.Rect' objects}    
    20791    0.064    0.000    0.262    0.000 pgwidgets.py:830(iter_widgets)
   426923    0.261    0.000    0.261    0.000 {method 'copy' of 'dict' objects}
   253263    0.179    0.000    0.249    0.000 settings.py:497(pos_to_tile)
   198930    0.090    0.000    0.242    0.000 random.py:341(choice)
     9945    0.227    0.000    0.227    0.000 {built-in method pygame.event.get}
  3154711    0.218    0.000    0.218    0.000 prim_data.py:322(is_bg)
     9818    0.009    0.000    0.181    0.000 pgwidgets.py:818(no_widgets)
  2899836    0.173    0.000    0.173    0.000 pgwidgets.py:617(__bool__)
    20791    0.061    0.000    0.164    0.000 {built-in method builtins.sorted}
   390904    0.125    0.000    0.159    0.000 basics.py:682(__getitem__)
   250928    0.099    0.000    0.150    0.000 random.py:242(_randbelow_with_getrandbits)
