CAUTION - CPROFILE WAS ACTIVE
         32943336 function calls (32943055 primitive calls) in 16.664 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3261    0.012    0.000   16.683    0.005 base_events.py:1910(_run_once)
        1    0.000    0.000   16.664   16.664 {built-in method builtins.exec}
        1    0.000    0.000   16.664   16.664 <string>:1(<module>)
        1    0.000    0.000   16.664   16.664 runners.py:160(run)
        3    0.000    0.000   16.663    5.554 base_events.py:651(run_until_complete)
        3    0.000    0.000   16.663    5.554 windows_events.py:318(run_forever)
        3    0.002    0.001   16.663    5.554 base_events.py:627(run_forever)
        1    0.000    0.000   16.663   16.663 runners.py:86(run)
     3266    0.003    0.000   16.652    0.005 events.py:86(_run)
     3266    0.010    0.000   16.648    0.005 {method 'run' of '_contextvars.Context' objects}
     3256    3.146    0.001   16.626    0.005 main.py:4469(main)
     ----------------------------------------------------------------
   198726    0.319    0.000    9.484    0.000 entities.py:174(update)
   579179    4.617    0.000    7.834    0.000 entities.py:264(get_cols)
   198726    0.369    0.000    5.912    0.000 entities.py:211(collide)
   198726    0.054    0.000    3.035    0.000 entities.py:483(spec_update)
   198726    0.329    0.000    2.981    0.000 entities.py:246(jump_over_obstacles)
  5289501    1.333    0.000    1.333    0.000 settings.py:511(correct_tile)
     3255    0.936    0.000    0.966    0.000 {method 'tick' of 'pygame.time.Clock' objects}
  5269699    0.649    0.000    0.813    0.000 prim_data.py:311(is_hard)
     3255    0.034    0.000    0.720    0.000 pgwidgets.py:851(draw_and_update_widgets)
     1092    0.514    0.000    0.579    0.001 pgwidgets.py:707(update)
  2388850    0.498    0.000    0.498    0.000 entities.py:11(Rect)
     3751    0.002    0.000    0.496    0.000 pgbasics.py:1268(_func)
      992    0.001    0.000    0.492    0.000 main.py:4127(update)
      992    0.425    0.000    0.490    0.000 main.py:4174(spec_update)
     3075    0.006    0.000    0.315    0.000 main.py:2119(update)
     3075    0.004    0.000    0.289    0.000 main.py:2129(move_accordingly)
   198726    0.122    0.000    0.265    0.000 entities.py:240(check_chunk_borders)
     3075    0.036    0.000    0.235    0.000 main.py:2534(adventure_move)
   780980    0.144    0.000    0.220    0.000 pgbasics.py:1066(centerx)
   794904    0.219    0.000    0.219    0.000 entities.py:169(update__rect)
     3255    0.210    0.000    0.210    0.000 {built-in method pygame.event.get}
   777905    0.141    0.000    0.209    0.000 pgbasics.py:1074(centery)
   504300    0.154    0.000    0.191    0.000 main.py:2173(_rect)
  1642556    0.171    0.000    0.171    0.000 {method 'colliderect' of 'pygame.rect.Rect' objects}
  2605676    0.165    0.000    0.165    0.000 pgwidgets.py:617(__bool__)
  2224192    0.164    0.000    0.164    0.000 prim_data.py:322(is_bg)
    86100    0.058    0.000    0.159    0.000 main.py:2169(rect)
     9225    0.050    0.000    0.155    0.000 main.py:2509(get_cols)
       29    0.006    0.000    0.155    0.005 main.py:855(generate_chunk)
     2373    0.113    0.000    0.140    0.000 pgbasics.py:614(write)
  1874986    0.133    0.000    0.133    0.000 {built-in method math.floor}
    83869    0.084    0.000    0.084    0.000 {method 'copy' of 'dict' objects}
        1    0.008    0.008    0.083    0.083 main.py:1093(save)
   198726    0.082    0.000    0.082    0.000 entities.py:399(animate)
     6930    0.020    0.000    0.078    0.000 pgwidgets.py:830(iter_widgets)
    62049    0.029    0.000    0.077    0.000 random.py:341(choice)
   777905    0.076    0.000    0.076    0.000 entities.py:332(width)
    79794    0.055    0.000    0.075    0.000 settings.py:499(pos_to_tile)
   841086    0.074    0.000    0.074    0.000 entities.py:336(height)
        1    0.038    0.038    0.072    0.072 {built-in method _pickle.dump}
     7639    0.045    0.000    0.061    0.000 prim_data.py:101(__init__)
   198726    0.060    0.000    0.060    0.000 entities.py:383(draw)
       29    0.003    0.000    0.056    0.002 main.py:937(generate_lighting)
   123125    0.040    0.000    0.052    0.000 basics.py:682(__getitem__)
   683864    0.051    0.000    0.051    0.000 settings.py:438(player)
     3082    0.003    0.000    0.050    0.000 pgwidgets.py:818(no_widgets)
     6930    0.018    0.000    0.048    0.000 {built-in method builtins.sorted}
      107    0.042    0.000    0.048    0.000 pgwidgets.py:441(update)
    70122    0.029    0.000    0.044    0.000 random.py:242(_randbelow_with_getrandbits)
     3075    0.011    0.000    0.039    0.000 main.py:2935(update)
501988/501967    0.038    0.000    0.038    0.000 {built-in method builtins.len}
   504301    0.036    0.000    0.036    0.000 main.py:2153(size)
    14874    0.032    0.000    0.033    0.000 __init__.py:361(__rect_reduce)
     4041    0.031    0.000    0.031    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
   160684    0.019    0.000    0.030    0.000 pgwidgets.py:831(<lambda>)
       29    0.001    0.000    0.030    0.001 world_generation.py:483(world_modifications)
     2400    0.028    0.000    0.028    0.000 {method 'render' of 'pygame.font.Font' objects}
   198726    0.027    0.000    0.027    0.000 entities.py:436(display_hp)
    74/51    0.000    0.000    0.027    0.001 threading.py:1016(_bootstrap)
    74/51    0.000    0.000    0.027    0.001 threading.py:1056(_bootstrap_inner)
   413792    0.027    0.000    0.027    0.000 {built-in method builtins.isinstance}
       96    0.000    0.000    0.026    0.000 world_generation.py:514(entity)
    74/51    0.000    0.000    0.026    0.001 threading.py:999(run)
        1    0.000    0.000    0.026    0.026 main.py:681(create)
       96    0.000    0.000    0.026    0.000 entities.py:477(__init__)
       96    0.012    0.000    0.026    0.000 entities.py:72(__init__)
     3075    0.009    0.000    0.025    0.000 space.py:557(step)
   203963    0.022    0.000    0.025    0.000 {built-in method builtins.getattr}
   208044    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.021    0.021 pgwidgets.py:842(destroy_widgets)
    66838    0.014    0.000    0.020    0.000 pgbasics.py:1103(bottom)
   129165    0.020    0.000    0.020    0.000 {built-in method builtins.round}
     9585    0.019    0.000    0.019    0.000 {built-in method pygame.key.get_pressed}
      179    0.016    0.000    0.016    0.000 imgtools.py:8(T)
    62859    0.010    0.000    0.016    0.000 main.py:451(non_bg)
     3261    0.002    0.000    0.015    0.000 windows_events.py:443(select)
       74    0.000    0.000    0.015    0.000 threading.py:973(start)
   164985    0.015    0.000    0.015    0.000 {built-in method builtins.hasattr}
     3075    0.014    0.000    0.014    0.000 {built-in method pymunk._chipmunk.cpSpaceStep}
      407    0.004    0.000    0.014    0.000 pgwidgets.py:879(process_widget_events)
     3262    0.005    0.000    0.013    0.000 windows_events.py:761(_poll)
     3075    0.002    0.000    0.013    0.000 main.py:2133(draw)
   198726    0.013    0.000    0.013    0.000 entities.py:429(regenerate)
     3267    0.003    0.000    0.012    0.000 base_events.py:785(call_soon)
       96    0.011    0.000    0.012    0.000 entities.py:351(init_images)
     3111    0.002    0.000    0.012    0.000 {built-in method builtins.any}
    65082    0.012    0.000    0.012    0.000 {method 'insert' of 'list' objects}
     3075    0.007    0.000    0.012    0.000 main.py:2515(scroll)
   123125    0.011    0.000    0.011    0.000 {function DictWithoutException.__getitem__ at 0x00000194269D7880}
     4052    0.001    0.000    0.011    0.000 main.py:1333(bimg)
     3075    0.003    0.000    0.011    0.000 main.py:2160(rect_draw)
     8073    0.002    0.000    0.011    0.000 random.py:332(randint)
