
Loaded in: 189604.92s
Average loading time: 189604.92s

CAUTION - CPROFILE WAS ACTIVE
         31985442 function calls (31985156 primitive calls) in 16.924 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   561477    4.382    0.000    7.472    0.000 entities.py:264(get_cols)
     3254    3.118    0.001   16.890    0.005 main.py:4469(main)
     3253    1.477    0.000    1.508    0.000 {method 'tick' of 'pygame.time.Clock' objects}
  5127133    1.294    0.000    1.294    0.000 settings.py:511(correct_tile)
     1608    0.680    0.000    0.784    0.000 main.py:4174(spec_update)
  5113761    0.625    0.000    0.783    0.000 prim_data.py:311(is_hard)
  2314705    0.468    0.000    0.468    0.000 entities.py:11(Rect)
      938    0.441    0.000    0.499    0.001 pgwidgets.py:707(update)
   192652    0.323    0.000    5.612    0.000 entities.py:211(collide)
   192652    0.314    0.000    9.027    0.000 entities.py:174(update)
   192652    0.301    0.000    2.835    0.000 entities.py:246(jump_over_obstacles)
     3253    0.216    0.000    0.216    0.000 {built-in method pygame.event.get}
   770608    0.214    0.000    0.214    0.000 entities.py:169(update__rect)
  2523471    0.161    0.000    0.161    0.000 pgwidgets.py:617(__bool__)
  2152511    0.158    0.000    0.158    0.000 prim_data.py:322(is_bg)
  1589111    0.153    0.000    0.153    0.000 {method 'colliderect' of 'pygame.rect.Rect' objects}    
   484292    0.149    0.000    0.184    0.000 main.py:2173(_rect)
     2936    0.140    0.000    0.175    0.000 pgbasics.py:614(write)
   757082    0.137    0.000    0.211    0.000 pgbasics.py:1066(centerx)
   754129    0.135    0.000    0.200    0.000 pgbasics.py:1074(centery)
  1814834    0.133    0.000    0.133    0.000 {built-in method math.floor}
   192652    0.118    0.000    0.257    0.000 entities.py:240(check_chunk_borders)
    80575    0.081    0.000    0.081    0.000 {method 'copy' of 'dict' objects}
   192652    0.079    0.000    0.079    0.000 entities.py:398(animate)
   754129    0.074    0.000    0.074    0.000 entities.py:331(width)
   815363    0.071    0.000    0.071    0.000 entities.py:335(height)
   192652    0.061    0.000    0.061    0.000 entities.py:382(draw)
    82684    0.056    0.000    0.153    0.000 main.py:2169(rect)
    76644    0.053    0.000    0.072    0.000 settings.py:499(pos_to_tile)
   192652    0.051    0.000    2.887    0.000 entities.py:482(spec_update)
   660936    0.048    0.000    0.048    0.000 settings.py:438(player)
     8859    0.048    0.000    0.149    0.000 main.py:2509(get_cols)
     7639    0.047    0.000    0.065    0.000 prim_data.py:101(__init__)
   118245    0.039    0.000    0.050    0.000 basics.py:682(__getitem__)
485708/485687    0.039    0.000    0.039    0.000 {built-in method builtins.len}
        1    0.037    0.037    0.071    0.071 {built-in method _pickle.dump}
     2953    0.037    0.000    0.229    0.000 main.py:2534(adventure_move)
     2962    0.036    0.000    0.036    0.000 {method 'render' of 'pygame.font.Font' objects}
   484293    0.035    0.000    0.035    0.000 main.py:2153(size)
     4045    0.034    0.000    0.034    0.000 {method 'blit' of 'pygame.surface.Surface' objects}     
       85    0.034    0.000    0.039    0.000 pgwidgets.py:441(update)
